Nombre_Modelo,timestamp,PROCESO,METRICA,VALOR,Comentario
LogisticRegression,2026-03-15 20:37:08,TRAIN,Accuracy,0.878,modelo Base
LogisticRegression,2026-03-15 20:37:08,TRAIN,Precision,0.69,modelo Base
LogisticRegression,2026-03-15 20:37:08,TRAIN,Recall,0.411,modelo Base
LogisticRegression,2026-03-15 20:37:08,TRAIN,F1,0.516,modelo Base
LogisticRegression,2026-03-15 20:37:08,TRAIN,ROC_AUC,0.874,modelo Base
LogisticRegression,2026-03-15 20:37:08,TEST,Accuracy,0.878,modelo Base
LogisticRegression,2026-03-15 20:37:08,TEST,Precision,0.68,modelo Base
LogisticRegression,2026-03-15 20:37:08,TEST,Recall,0.416,modelo Base
LogisticRegression,2026-03-15 20:37:08,TEST,F1,0.516,modelo Base
LogisticRegression,2026-03-15 20:37:08,TEST,ROC_AUC,0.877,modelo Base
LogisticRegression,2026-03-15 20:37:08,VALIDACION,Accuracy,0.89,modelo Base
LogisticRegression,2026-03-15 20:37:08,VALIDACION,Precision,0.567,modelo Base
LogisticRegression,2026-03-15 20:37:08,VALIDACION,Recall,0.56,modelo Base
LogisticRegression,2026-03-15 20:37:08,VALIDACION,F1,0.564,modelo Base
LogisticRegression,2026-03-15 20:37:08,VALIDACION,ROC_AUC,0.872,modelo Base
DecisionTreeClassifier,2026-03-16 23:30:19,TRAIN,Accuracy,0.93,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 50}"
DecisionTreeClassifier,2026-03-16 23:30:19,TRAIN,Precision,0.848,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 50}"
DecisionTreeClassifier,2026-03-16 23:30:19,TRAIN,Recall,0.675,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 50}"
DecisionTreeClassifier,2026-03-16 23:30:19,TRAIN,F1,0.752,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 50}"
DecisionTreeClassifier,2026-03-16 23:30:19,TRAIN,ROC_AUC,0.949,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 50}"
DecisionTreeClassifier,2026-03-16 23:30:19,TEST,Accuracy,0.924,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 50}"
DecisionTreeClassifier,2026-03-16 23:30:19,TEST,Precision,0.815,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 50}"
DecisionTreeClassifier,2026-03-16 23:30:19,TEST,Recall,0.664,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 50}"
DecisionTreeClassifier,2026-03-16 23:30:19,TEST,F1,0.732,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 50}"
DecisionTreeClassifier,2026-03-16 23:30:19,TEST,ROC_AUC,0.934,"{'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 50}"
